進場時間_台灣,出場時間_台灣,方向,進場價,出場價,損益點數,損益金額,出場原因
2024-06-25 09:00:00+08:00,2024-07-04 09:00:00+08:00,多,22708.009765625,23137.64599609375,429.6,4172.0,停利（中軌）
2024-08-01 09:00:00+08:00,2024-08-02 09:00:00+08:00,空,22530.33984375,22165.77861328125,364.6,3521.0,停利（中軌）
2024-09-12 11:00:00+08:00,2024-09-16 09:00:00+08:00,空,21644.720703125,21744.720703125,-100.0,-1124.0,停損
2024-10-29 10:00:00+08:00,2024-11-01 09:00:00+08:00,多,22816.44921875,22716.44921875,-100.0,-1125.0,停損
2024-12-31 11:00:00+08:00,2025-01-02 09:00:00+08:00,多,23033.7109375,22933.7109375,-100.0,-1125.0,停損
2025-05-19 13:00:00+08:00,2025-05-21 10:00:00+08:00,多,21523.4296875,21711.7474609375,188.3,1759.0,停利（中軌）
2025-09-01 11:00:00+08:00,2025-09-04 09:00:00+08:00,多,23944.619140625,24351.13134765625,406.5,3940.0,停利（中軌）
2025-09-26 10:00:00+08:00,2025-10-01 09:00:00+08:00,多,25589.810546875,26052.93134765625,463.1,4506.0,停利（中軌）
2025-11-05 10:00:00+08:00,2025-11-14 09:00:00+08:00,多,27679.890625,27579.890625,-100.0,-1126.0,停損
2025-12-16 11:00:00+08:00,2025-12-22 09:00:00+08:00,多,27444.75,27998.98173828125,554.2,5417.0,停利（中軌）
