time,direction,entry,exit,pnl,result,orb_range,orb_high,orb_low,cumulative,month
2024-03-29 13:00:00,long,20263.0,20297.5,345.0,close,98.7,20255.0,20156.3,345.0,2024-03
2024-04-02 13:00:00,long,20438.6,20454.7,161.0,close,70.8,20430.6,20359.8,506.0,2024-04
2024-04-10 11:00:00,long,20861.7,20811.8,-500.0,stop,83.9,20853.7,20769.8,6.0,2024-04
2024-04-12 13:00:00,long,20788.9,20747.4,-415.0,stop,67.0,20780.9,20713.9,-409.0,2024-04
2024-05-08 13:00:00,long,20648.4,20651.1,27.0,close,92.9,20640.4,20547.5,-382.0,2024-05
2024-05-14 13:00:00,long,20923.0,20987.0,640.0,close,98.2,20915.0,20816.8,258.0,2024-05
2024-06-06 12:00:00,long,21951.9,21901.9,-500.0,stop,96.2,21943.9,21847.7,-242.0,2024-06
2024-06-06 13:00:00,long,21951.9,21914.8,-371.0,close,96.2,21943.9,21847.7,-613.0,2024-06
2024-06-11 11:00:00,long,21998.8,21948.8,-500.0,stop,97.9,21990.8,21892.9,-1113.0,2024-06
2024-08-19 12:00:00,long,22413.2,22363.2,-500.0,stop,98.1,22405.2,22307.2,-1613.0,2024-08
2024-08-30 13:00:00,long,22321.0,22271.6,-495.0,stop,83.0,22313.0,22230.1,-2108.0,2024-08
2024-09-16 13:00:00,long,21834.0,21848.7,146.0,close,65.4,21826.0,21760.6,-1962.0,2024-09
2024-09-19 11:00:00,long,21754.5,21844.4,449.0,tp1,89.9,21746.5,21656.7,-1513.0,2024-09
2024-09-19 13:00:00,long,21754.5,21990.2,1178.0,close,89.9,21746.5,21656.7,-335.0,2024-09
2024-12-27 13:00:00,long,23300.4,23278.2,-222.0,close,88.0,23292.4,23204.3,-557.0,2024-12
2025-02-14 13:00:00,short,23155.7,23200.9,-452.0,close,99.7,23263.4,23163.7,-1009.0,2025-02
2025-03-19 11:00:00,short,22165.8,22091.9,369.0,tp1,73.9,22247.7,22173.8,-640.0,2025-03
2025-03-19 13:00:00,short,22165.8,21973.3,962.0,close,73.9,22247.7,22173.8,322.0,2025-03
2025-04-29 11:00:00,long,20088.5,20161.8,366.0,tp1,73.2,20080.5,20007.3,688.0,2025-04
2025-04-29 13:00:00,long,20088.5,20223.5,675.0,close,73.2,20080.5,20007.3,1363.0,2025-04
2025-04-30 11:00:00,long,20277.5,20230.0,-475.0,stop,79.1,20269.5,20190.4,888.0,2025-04
2025-07-31 13:00:00,long,23555.1,23580.8,257.0,close,92.7,23547.1,23454.4,1145.0,2025-07
